277,23,0
262,38,0
251,49,0
238,62,0
223,72,5
212,66,22
202,62,36
193,61,46
183,59,58
173,57,70
165,56,79
160,53,87
158,50,92
150,48,102
144,47,109
142,41,117
137,40,123
129,41,130
126,37,137
120,35,145
117,41,142
115,38,147
111,38,151
109,37,154
107,35,158
103,36,161
100,38,162
97,37,166
96,41,163
93,39,168
92,32,176
88,33,179
87,29,184
86,26,188
83,27,190
81,27,192
80,22,198
79,22,199
78,25,197
78,22,200
78,19,203
78,23,199
77,30,193
75,25,200
75,25,200
74,28,198
74,29,197
74,26,200
72,28,200
71,29,200
71,25,204
70,21,209
70,18,212
67,19,214
65,22,213
64,25,211
64,24,212
63,25,212
63,22,215
63,17,220
62,18,220
58,22,220
58,21,221
57,22,221
56,22,222
55,21,224
55,18,227
55,16,229
54,18,228
50,19,231
50,19,231
50,20,230
50,20,230
49,19,232
47,18,235
47,18,235
47,17,236
47,18,235
46,16,238
46,17,237
45,19,236
45,18,237
45,17,238
45,16,239
45,15,240
45,10,245
45,10,245
45,11,244
44,12,244
43,11,246
43,14,243
43,17,240
43,14,243
43,12,245
43,13,244
43,13,244
43,10,247
43,16,241
42,17,241
40,21,239
